Date,Open,High,Low,Close,Volume
2016-06-06,36.7916,36.7916,36.283,36.3712,20458235
2016-06-07,36.5311,36.7024,36.408,36.4225,16379563
2016-06-08,36.8415,37.0562,36.6553,37.0123,22021281
2016-06-09,36.7204,37.0622,36.692,36.9919,12431522
2016-06-10,36.6646,36.8484,36.3936,36.5271,24933098
2016-06-13,36.3592,36.8165,36.3592,36.4618,14990244
2016-06-14,36.3338,36.6671,36.1938,36.5301,17608883
2016-06-15,36.6133,36.7149,36.4334,36.4772,14688374
2016-06-16,36.2665,36.3876,35.6477,36.0817,30634612
2016-06-17,35.9393,35.9393,34.9294,35.0858,60871949
2016-06-20,35.3872,35.6642,35.1431,35.179,25140788
2016-06-21,35.3743,35.6399,35.1058,35.316,23873190
2016-06-22,35.5735,35.5815,35.1665,35.4127,20429732
2016-06-23,35.3992,35.6144,34.8861,35.6144,27761374
2016-06-24,34.3838,35.1226,34.1218,34.1402,61831395
2016-06-27,34.0012,34.0429,33.5115,33.934,45623913
2016-06-28,34.4436,34.5119,34.1188,34.4381,26019582
2016-06-29,34.5877,34.8487,34.5092,34.634,39323998
2016-06-30,34.7565,35.0614,34.6196,35.0494,29440599
2016-07-01,35.1276,35.4978,35.0594,35.3842,21548613
2016-07-05,35.1231,35.2781,34.8302,35.1172,25072060
2016-07-06,34.8656,35.5212,34.8237,35.3205,18340746
2016-07-07,35.3773,35.3803,34.9069,35.2353,12874442
2016-07-08,35.3997,35.7654,35.2776,35.7594,21003946
2016-07-11,35.8411,36.3148,35.8134,36.2207,20543503
2016-07-12,36.4638,36.6471,36.2437,36.4932,16827240
2016-07-13,36.6431,36.6431,36.3194,36.3422,13431093
2016-07-14,36.5644,36.6741,36.3975,36.6561,12467713
2016-07-15,36.9162,36.9162,36.5994,36.6486,23973151
2016-07-18,36.7623,37.6204,36.6925,37.524,35957257
2016-07-19,37.3581,37.6928,37.2893,37.5344,21425629
2016-07-20,37.5663,37.8947,37.5663,37.7173,18577542
2016-07-21,37.7133,37.7705,37.4403,37.5843,12724159
