Date,Open,High,Low,Close,Volume
2016-06-06,46.5103,46.8345,46.4254,46.6344,18511818.128784
2016-06-07,46.7348,47.1705,46.6088,46.6088,20306996.070037
2016-06-08,46.5356,46.9118,46.4058,46.554,22413354.295846
2016-06-09,46.5191,46.5191,46.0637,46.1791,21211620.206454
2016-06-10,45.6693,46.564,45.6603,46.056,26880675.869917
2016-06-13,44.3575,45.3714,43.8924,44.8567,89262068.873386
2016-06-14,44.6407,44.8205,44.3477,44.5763,46591118.752649
2016-06-15,44.5333,44.838,44.4541,44.4541,31747693.966436
2016-06-16,44.3008,45.1496,44.2889,45.0804,32274964.361898
2016-06-17,45.0978,45.1144,44.5664,44.8467,46673982.49104
2016-06-20,45.3011,45.4758,44.758,44.7931,37285208.46191
2016-06-21,44.9075,46.0101,44.8733,45.7952,34979231.310123
2016-06-22,45.6946,46.0385,45.5844,45.6264,27656812.887614
2016-06-23,45.8752,46.5738,45.759,46.4427,29273973.440107
2016-06-24,44.5568,45.5717,44.3008,44.5763,70376549.98648
2016-06-27,43.9288,43.9668,42.9736,43.3272,55375957.866271
2016-06-28,43.7627,44.2578,43.538,44.2296,39743905.482048
2016-06-29,44.6507,45.3752,44.5509,45.214,30555985.103475
2016-06-30,45.3752,45.8949,45.179,45.7769,29226586.021262
2016-07-01,45.7404,46.269,45.685,45.7679,22258546.862475
2016-07-05,45.4758,45.8752,45.3948,45.7769,26343690.464897
2016-07-06,45.4279,46.1057,45.0804,45.9671,29344697.767779
2016-07-07,46.0014,46.1703,45.685,45.9671,20051713.180029
2016-07-08,46.2778,46.8433,46.1145,46.7916,30127754.771732
2016-07-11,46.9675,47.2633,46.9408,47.0482,20278341.450213
2016-07-12,47.36,47.7713,47.2233,47.6022,29119277.602903
2016-07-13,47.9156,48.1845,47.5769,47.8717,26698568.328012
2016-07-14,48.1677,48.2995,47.9325,48.076,24229211.314249
2016-07-15,48.2615,48.3094,47.6022,48.0418,33253194.87382
2016-07-18,48.0418,48.6131,47.907,48.2712,30775427.194705
2016-07-19,48.0514,48.2176,47.3514,47.4948,51093982.170625
2016-07-20,50.2354,50.8487,49.6767,50.0187,95651717.377228
2016-07-21,50.0802,50.3048,49.8839,49.9179,34622279.19162
2016-07-22,50.1711,50.6595,49.9005,50.6096,33243779.842954
2016-07-25,50.5178,50.7619,50.3263,50.7531,25368871.314747
2016-07-26,50.5657,51.2523,50.5558,50.7787,28730620.91058
2016-07-27,50.6426,50.8128,50.1974,50.2676,34155114.082926
2016-07-28,50.0977,50.4308,49.8478,50.2864,40503553.90991
2016-07-29,50.3313,50.7787,50.1446,50.7073,31655423.387722
2016-08-01,50.6349,50.7699,50.2257,50.6186,27458551.544379
2016-08-02,50.8576,50.9045,50.3752,50.6186,35314018.791472
2016-08-03,50.7073,51.0921,50.5363,50.9652,23166361.215961
2016-08-04,50.8128,51.4574,50.6974,51.3421,28074350.46355
2016-08-05,51.5766,52.0747,51.3957,51.852,29641059.309751
2016-08-08,51.9378,51.9634,51.6897,51.9428,19939590.769157
2016-08-09,52.0394,52.3355,51.9078,52.067,18436705.716913
