Date,Open,High,Low,Close,Volume
7/6/2016,22.6154,22.7565,22.5486,22.5642,90873146
8/6/2016,22.5613,22.686,22.4858,22.5436,83918644
9/6/2016,22.4445,22.7832,22.4356,22.7056,112651911
10/6/2016,22.4514,22.6369,22.4396,22.5209,114084239
13/6/2016,22.4868,22.5858,22.1245,22.1795,156138696
14/6/2016,22.1748,22.4396,22.0442,22.208,135401714
15/6/2016,22.2894,22.424,22.1088,22.1344,114155516
16/6/2016,21.9755,22.274,21.8892,22.2277,133902283
17/6/2016,22.0148,22.0225,21.7154,21.7224,239685957
20/6/2016,21.8732,22.0031,21.6547,21.6715,146826025
21/6/2016,21.6339,21.9529,21.5732,21.853,140131716
22/6/2016,21.9303,22.0776,21.7273,21.7754,114883861
23/6/2016,21.8596,21.9391,21.7046,21.8961,134114761
24/6/2016,21.1689,21.5682,21.1119,21.2808,277756835
27/6/2016,21.1895,21.1993,20.8491,20.9736,194431706
28/6/2016,21.1669,21.3403,20.9963,21.3252,169101637
29/6/2016,21.4112,21.5438,21.3335,21.5113,140798703
30/6/2016,21.5202,21.8226,21.4878,21.784,148319044
1/7/2016,21.7586,21.9795,21.7224,21.8481,109429246
5/7/2016,21.7362,21.7382,21.5241,21.6577,119070399
6/7/2016,21.5555,21.7969,21.5035,21.7674,128688344
7/7/2016,21.8056,21.9872,21.789,21.8596,104114749
8/7/2016,21.9853,22.0776,21.8842,22.0295,116531011
11/7/2016,22.0442,22.2511,22.0422,22.0983,99454356
12/7/2016,22.1413,22.2631,22.1295,22.1983,95259431
13/7/2016,22.1963,22.2561,22.0658,22.0726,95733361
14/7/2016,22.1914,22.5545,22.1748,22.5063,154110151
15/7/2016,22.5387,22.6271,22.4445,22.5063,129638750
18/7/2016,22.4888,22.8154,22.468,22.7466,156994605
19/7/2016,22.686,22.7862,22.6359,22.7565,96979125
20/7/2016,22.7862,22.8908,22.7243,22.7762,108221067
21/7/2016,22.7466,23.0166,22.5877,22.6563,132292468
22/7/2016,22.6173,22.6271,22.4023,22.4809,113286932
25/7/2016,22.3877,22.5209,22.0846,22.1795,167094159
26/7/2016,22.0608,22.3247,21.9686,22.0265,177557120
27/7/2016,23.7564,23.778,23.4119,23.4562,394405785
28/7/2016,23.4318,23.8006,23.4288,23.7751,163041465
29/7/2016,23.7416,23.824,23.624,23.7466,108916303
1/8/2016,23.7917,24.1871,23.7917,24.1636,161367759
2/8/2016,24.1636,24.1676,23.7006,23.8064,137942828
3/8/2016,23.8858,24.1165,23.8762,24.1048,120129957
4/8/2016,24.1871,24.2844,24.1193,24.2548,110158298
5/8/2016,24.3511,24.6591,24.3294,24.6199,146171193
8/8/2016,24.6299,24.828,24.5492,24.828,111786341
9/8/2016,24.7965,24.9583,24.7475,24.9291,111246220
10/8/2016,24.9063,24.9486,24.6865,24.7456,97309965
11/8/2016,24.8632,24.9553,24.7082,24.7278,101863435
12/8/2016,24.6905,24.8456,24.6905,24.7847,78113944
15/8/2016,24.7748,25.0918,24.7622,25.0781,106865481
16/8/2016,25.1125,25.2529,25.02,25.0585,143097323
17/8/2016,24.9938,25.0566,24.8212,25.0182,99232595
18/8/2016,25.025,25.1057,24.9781,24.9899,82474343
19/8/2016,24.9192,25.1264,24.826,25.0537,107096876
22/8/2016,24.9417,24.983,24.7082,24.8602,107301533
23/8/2016,24.88,25.0439,24.8651,24.9388,82873920
24/8/2016,24.873,24.9142,24.6671,24.7495,98308555
25/8/2016,24.6021,24.7161,24.4441,24.6395,99981213
26/8/2016,24.608,24.7328,24.359,24.4954,116981527
29/8/2016,24.4295,24.612,24.356,24.4738,102241141
30/8/2016,24.2381,24.4042,24.1676,24.2824,97513410
31/8/2016,24.2049,24.4178,24.1999,24.3098,116533327
1/9/2016,24.3195,24.4699,24.1949,24.4539,107076102
2/9/2016,24.6709,24.7456,24.4738,24.6786,112462310
6/9/2016,24.7201,24.8114,24.6299,24.6709,101467525
7/9/2016,24.7033,24.9162,24.5266,24.826,169708662
8/9/2016,24.569,24.573,24.1097,24.1735,216776331
9/9/2016,23.9693,24.2197,23.626,23.626,192176322
12/9/2016,23.5162,24.2197,23.4885,24.1577,178592228
13/9/2016,24.6299,24.9241,24.566,24.7328,267326800
14/9/2016,24.9093,25.8916,24.883,25.6079,464212365
15/9/2016,26.0877,26.5088,25.9975,26.4705,386574150
16/9/2016,26.3751,26.603,26.1291,26.3293,307576756
19/9/2016,26.391,26.6157,25.9455,26.0192,202458245
20/9/2016,25.8966,26.1476,25.777,26.0172,148122009
21/9/2016,26.0857,26.1173,25.7611,26.0114,144991048
22/9/2016,26.2027,26.3331,26.1193,26.2545,128781122
23/9/2016,26.2155,26.297,25.557,25.8207,225678866
26/9/2016,25.5788,25.9779,25.557,25.8572,124974522
27/9/2016,25.8837,25.9288,25.7382,25.9062,104307911
28/9/2016,26.0466,26.2604,25.9849,26.1075,125911246
29/9/2016,25.9229,26.0732,25.6148,25.7024,151228649
30/9/2016,25.765,25.972,25.6148,25.8966,145585363
3/10/2016,25.8207,25.8966,25.7237,25.7799,90993431
4/10/2016,25.8994,26.1928,25.8023,25.8837,127909166
5/10/2016,25.9799,26.0387,25.8148,25.8966,87281125
6/10/2016,26.0486,26.1997,25.9161,26.0956,122470137
7/10/2016,26.1928,26.2447,26.0015,26.1349,104586363
10/10/2016,26.3526,26.7472,26.2801,26.5862,154322423
11/10/2016,26.9669,27.1918,26.6207,26.6452,271835384
12/10/2016,26.8885,27.0259,26.7472,26.8856,161322276
13/10/2016,26.757,26.9052,26.5058,26.8001,148763946
14/10/2016,27.0063,27.0671,26.8365,26.9505,150407255
17/10/2016,26.8856,26.9963,26.755,26.9327,96052407
18/10/2016,27.0691,27.077,26.9081,26.9129,96200260
19/10/2016,26.866,26.9798,26.0732,26.8345,85245529
20/10/2016,26.7746,26.8934,26.652,26.8199,103084299
21/10/2016,26.7618,26.7854,26.6403,26.7128,95398662
24/10/2016,26.8296,26.9738,26.805,26.9542,99163330
25/10/2016,27.019,27.1142,26.8816,27.0865,168279278
26/10/2016,26.1928,26.5019,25.9602,26.4755,280937998
27/10/2016,26.4265,26.5401,26.1436,26.2282,122332776
28/10/2016,26.0897,26.3969,25.9896,26.0534,151802046
31/10/2016,26.0367,26.1731,25.9328,26.0094,115321347
1/11/2016,25.9896,26.0663,25.3194,25.5431,191300778
